,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
136,4104582,Midwife or OBYGN?,"Hi, I'm 40 and very happily 8 wks pregnant with our 3rd baby. With my 2 first children I was with a OBGYN who used pain relief whether a hot tub or an epid.(I used both:) but she practices far from where I now live so I'm looking for another Dr. 
My question is since I'm 40 I'm a little concerned with going with a OBYGN since I've heard that they tend to order C-sections more readily if the mother is over 40 (?). I've heard that a midwife might 
not so quickly (?) But Midwifes  don't use epid. as much as a OBGYN does (right?)  I 'd like to know that there's an option of pain relief in the form of medicine, since I was in a lot of pain with my 1st / 2nd and want to be prepared if the 3rd is the same. With my 1st 2 children I had the epid. once I had dilated  to 7. My  Dr. said that if I had  meds. before then the labor might be slowed down, thus might end with a  C-section. 
What do you think? It's been 10 yrs. since I've been  preg. so this is like the 1st time. 
Thanks in advance!","I used a midwife that was in a practice with a OB/GYN and she was WONDERFUL!  I hope and pray that she's around for every single one of my future pregnancies!  The only thing you may have to worry about is your age.  Since you're 40 (not that that's old!) you're more at risk for certain things, and although a midwife will most likely treat you, she may want to work close with a OB/GYN in case of complications.  Also, about the whole epidural thing - my midwife never once mentioned trying to make it through labor without drugs.  She encouraged me to get them if I wanted them.  It was all up to me.  She never discouraged me from having the epidural done.  As for c-sections - I think it's really a case by case thing.  I doubt a midwife is going to let you go without a c-section if you really need one.  If you're really worried about the choice that you're making, do some research and set up a few appts. to speak with some midwives.  They'll be able to answer your questions and reassure you, and I'm sure you'll feel much better about your choice once you have all of the facts.  Congratulations on your pregnancy!!!  Remember - even though it's been 10 years, it'll all start coming back to you at some point.  Maybe you should consider taking a refresher course in labor and delivery.  It might help to relax you a bit.  Good luck!",pain relief,35-44 years old,Female,,,,,,My question is since I'm 40 I'm a little concerned with going with a OBYGN since I've heard that they tend to order C-sections more readily if the mother is over 40 (?),C-sections,,,,,,,,,,,,,,,,,Midwife or OBYGN?,What do you think? It's been 10 yrs. since I've been  preg. so this is like the 1st time.,,,,,"Yes:   Congratulations on your pregnancy!!!  Remember - even though it's been 10 years, it'll all start coming back to you at some point.  Maybe you should consider taking a refresher course in labor and delivery.  It might help to relax you a bit.  Good luck!",,,
137,4183929,Hemorrhoids? I was taking a dump and wiped my butt and felt this bump.?,"My Dump has been hard from one day last week, yesterday and today was a little softer. I have been taking my time pushing it out and etc. Mine is not hanging out. It goes back in after I finished. So is there any prevention to do for it won�t come out again? It doesn�t burn or anything. I use this little thing and stick it in my hole just to prevent it. I am not bleeding or anything. So what can I do to prevent it from happening again? BTW I am only 19.","Some of the symptoms of hemmorrhoids are: 

bright red blood covering the stool, 
painful swelling around the anus, 
hard lump around the anus, 
fissures, 
fistulae, 
abscesses, 
irritation and itching (pruritus ani). 

Excessive straining, rubbing or cleaning the anus may worsen symptoms.

Hemorrhoids are caused by too much pressure in the rectum, forcing blood to stretch and bulge the walls of the veins. Sometimes the pressure ruptures the veins.

Medical treatment of hemorrhoids initially is aimed at relieving symptoms. Symptoms can be reduced by: sitting in a a warm tub, Ice packs (to help reduce swelling), usage of a hemorrhoidal cream. Increasing fiber and fluids in the diet will also help (makes softer stool).

In some cases, hemorrhoids must be treated surgically. The doctor will shrink and destroy the hemorrhoidal tissue. 

Adding fiber to your diet

If you suddenly add large amounts of fiber to your diet, you may experience bloating, diarrhea, and severe stomach cramping. It is best to add fiber to your diet gradually, eating small amounts of fiber rich foods. Additional fiber can be added slowly until you are consuming a healthy amount.",hemorrhoids,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,Yes,,So is there any prevention to do for it won�t come out again?,,,,,,Not applicable,,,
138,4270551,Can You Get Periodontal Disease From Kissing Someone Else?,"I have several questions regarding Periodontal Disease. I read in a magazine that if your toothbrush touches someone else's and they have periodontal disease, chances are you will get it to. 
So my first question is can you get periodontal disease by kissing someone who has the disease?
Second question is, is it contagious? 
Third question, What can you do to prevent Periodontal Disease?
And last question, once you have Periodontal Disease, do you always have it??

Any info you may have, would be greatly appreciated.
And for the wise a&& who suggests that I brush my teeth, thanks but I already do that!!","Sorry, but you are mistaken.  You cannot ""catch"" periodontal disease (gum disease) from anyone or someone's toothbrush.  It is NOT contagious.  It is caused by the growth of bacteria on the teeth and gums. Bacteria are present in plaque, a clear, sticky substance your mouth produces. If plaque is not removed promptly, it builds up on the teeth.

Prevention is simple:
Brush your teeth in the morning, after meals and snacks, and before bed using fluoride toothpaste. 
Try an electric toothbrush that has a rotating and oscillating (back-and-forth) action. This type of toothbrush is better at removing plaque.
Use an antiseptic mouthwash, such as Listerine, or a fluoride or antiplaque mouthwash. 
Floss once a day.  
Use disclosing tablets periodically so you can see if you are brushing effectively. 
See your dentist regularly to have your teeth cleaned and checked. 

No, you won't always have it as it is treatable..especially in the early phases.  If you ignore it, it will progress and tissue damage and lead to permanent tooth loss.",Periodontal Disease,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"So my first question is can you get periodontal disease by kissing someone who has the disease? Second question is, is it contagious?  Third question, What can you do to prevent Periodontal Disease? And last question, once you have Periodontal Disease, do you always have it??",,,,,,Not applicable,,,
139,4347474,Trauma causing body to over-compensate somehow?,"I guess trauma is a bit extreme. Basically yesterday I was out kicking one of those giant wal-mart balls. The ones that are really light and you get them out of the tall containers in the middle of the aisle? Well I kicked one and when my right (kicking) foot came down I rolled on that side of my foot. For visual the bottom of my right foot was facing my left foot. Heard some pops (many of them) as I went down. Figured it was a nice sprain. Plenty of swelling and pain with pressure, but I'll live. (I'm broke this same foot years ago by doing pretty much the same thing. But this isn't broken, I know what it feels like.)

I don't have insurance so I don't wanna go to the doctor unless it's severe. 

Fast forward to this morning I wake up and my throat is swollen. No trouble breathing, just pain and difficulty eating/swallowing. And tonight I'm running a little bit of a fever. 

My quetions is are these little sick symptoms (sore throat, fever) related to my foot injury in some way?","Not related.  Watch your throat, is it gets hard to swallow you may have strep and need antibiotics.  Sounds like you have a good sprain/strain too.  Looks like you are headed for a miserable weekend.....",nice sprain,,,,,,,,I guess trauma is a bit extreme.,foot injury,,,,,,,,,,,,,,,,,"My quetions is are these little sick symptoms (sore throat, fever) related to my foot injury in some way?",,,,,,Not applicable,,,
140,4356815,Would it be bad if I only ate a tiny bit for like 3 weeks to loose weight?,"I am 145 lbs, 5'8, measurements of 36C-28-38, 

First off, Is that nasty? Am I too big? What do you think of that?

I have a flat stomach, but it needs defining, I also would like to maybe loose a little bit on my thighs, and my arms. 

I don�t want to seem paranoid/like I have an eating disorder, I don't

But anyways, I want loose some weight, so I was thinking, If I didn't eat very much for like 3 weeks would that be helpful? I was thinking

Glass of milk in morning
3 glasses of Milk w/ in the hours of 1pm-3pm
Dinner at night","OK, first of all, you are not overweight. You are tall and weigh what you are supposed to. What you can do is exercise the areas you are not happy with. If you starve yourself or eat very little, you will only slow down your metabolism and gain a bunch of weight once you start eating normally. Don't play games with your health.",loose weight,,,,,,,,,,,,,,"First off, Is that nasty? Am I too big? What do you think of that?",loose weight,,,,,,,"I don�t want to seem paranoid/like I have an eating disorder, I don't",eating disorder,,,"But anyways, I want loose some weight, so I was thinking, If I didn't eat very much for like 3 weeks would that be helpful? I was thinking",,"First off, Is that nasty? Am I too big? What do you think of that?",,,,"Yes: OK, first of all, you are not overweight. You are tall and weigh what you are supposed to. What you can do is exercise the areas you are not happy with. If you starve yourself or eat very little, you will only slow down your metabolism and gain a bunch of weight once you start eating normally. Don't play games with your health.",,,
142,4407029,What should I do I have ran out of options with my meds?,"I have been on every pain killer you could think of and now my doctor has me on methadone which I did not want to be on and for 5 months it has been working until about a week ago and when I went to him I told him I did not want to be on them any more, And I tried the fentinal patch which is stronger then moriphine and it is not working after 2 weeks still NOT working so I will have to go back on the methadone, but I have heard so many bad things about this drug it scares me, What else is out there that will help?.... and for the record I have had 3 doctors tell me they will not touch by neck it is too risky of a surgery and they will not even do the epideral shots again because it is too risky I have Degenerative disc disease and cervical disc disease, and scoliosis, Please can anyone help me? Any suggestions for my appointment this friday?","I AM NOT SURE I CAN HELP BUT...I HAVE HERNIATED DISKS IN MY NECK THAT ARE FUSED TO MY SPINAL CORD, AND SEVERE DEGENERATIVE ARTHRITIS OF THE NECK..SO  I KNOW WHAT KIND OF PAIN YOU ARE IN!
I HAVE BEEN ON EVERY MED AVAILABLE,GONE THRU PAIN MANAGEMENT,PHYSICAL THERAPY,ETC.I WAS ALSO SEEN BY A NEUROSURGEON WHO TOLD ME THAT THE NECK PAIN WOULD BE FOR THE REST OF MY LIFE AND SURGERY IS NOT AN OPTION BECAUSE IT IS TOO RISKY..
I HAVE BAD DAYS AND WORSE DAYS...

NOW I ONLY TAKE ALEVE OR ADVIL AND WHEN IT IS REALLY BAD I TAKE VICODIN..IT TAKES THE EDGE OFF TO A CERTAIN DEGREE
BUT IF YOU HAVE BEEN ON METHADONE AND MORPHINE I CAN NOT EVEN IMAGINE THE PAIN YOU ARE FEELING

AND ALL OF THE PAIN KILLERS ARE NARCOTIC AND ADDICTIVE, SO WHAT CHOICE DO WE HAVE...
BEST OF LUCK TO YOU AND I HOPE THAT YOU CAN FIND SOME SORT OF MED THAT WILL RELIEVE YOUR PAIN!!",pain killer,,,,,,,,,,,,,,,,,,,,,,my doctor has me on methadone which I did not want to be on,methadone,,,What should I do I have ran out of options with my meds? ; Any suggestions for my appointment this friday?,Please can anyone help me?,,,,,Yes: .SO  I KNOW WHAT KIND OF PAIN YOU ARE IN!,,,
0,4217,Question about acne and some things I am doing to prevent them and as well as treat them.?,"I have HORRIBLE acne; it's so bad, that I am very embarresed. The right side of my face is dealing with acne, while my left side of my face hardly has any, and not to mention that I have severe redness and scarring on the right. 
I have tried every immaginable thing I can think of. I have tried proactive, to no avail; I have gone to a demermatologist several times, and its always the same treatment. I use washes, and sun block, but there always seems to be more acne. I also get facials every month, to month and a half. And I hardly eat any fast food.

To treat my acne, I am taking pills (as prescribed by my dermatologist), washing my face several times a day and washing my face with presciption face wash (benzol peroxide 4%), using sunblock during the day, and getting facials. 
Q:I have been contemplating if I should get daily cleansing pads, like OXY CLEAN or STRIDEX. Is this a good thing for my skin? And what else can I do to treat my acne/ reduce scarring/redness? Any tips?","I found that the peroxide always dried my face out and made acne worse.
Arbonne's acne line, Clear Advantage, works great! It gives fabulous results!!

Arbonne Clear Advantage Acne Wash- Soothing, oil-free, deep pore cleanser unclogs pores and cleanses away dirt. Medicated with acne-fighting, prescription quality salicylic acid. Active ingredients are deposited directly into the pore, helping to clear blemishes and prevent new ones from forming.

Arbonne Clear Advantage Refining Toner- Alcohol-free, oil free toner helps balance and calm skin while removing excess oils. Enhanced with alpha hydroxy acids to gently and effectively remove dead skin cells. Skin is left clean, soothes, hydrated and refreshed.

Arbonne Clear Advantage Acne Lotion- Mild, oil free lotion with acne fighting salicylic acid penetrates pores to destroy blemishes causing bacteria, improving problem skin. Soothing and calming botanical agents help to heal and hydrate skin.

Arbonne Clear Advantage Skin Support- A uniquely developed dietary supplement to support the skin from the inside out. A combination of acne-fighting nutrients, such as vitamins, minerals and amino acids, plus botanicals used for centuries to improve skin conditons.",acne,,,,,,,,,,,,,,,,,,,,,,,,,,Yes:  what else can I do to treat my acne/ reduce scarring/redness? Any tips?,,"Yes: I have HORRIBLE acne; it's so bad, that I am very embarresed.",,,,No,,,
1,76417,Sore Boobs and mild cramping???? HELP?,I am 26 and know my body very well.  my husband and i have been trying to conceive for 7 months now...and its now about 2 weeks b4 my period should start and my boobs have been unusually sore for about a week and I ovulated last friday (sorry if TMI) and now i have mild cramps.  this has never happened b4 and the only time that i get sore boobs is about 2-3 days b4 i start.  Also to mention they are more sore on the sides...that never happens.  Has anyone ever had this happen to them and ended up preggo?,"Check to see if these relate and then go to your doctor.

Tender, swollen breasts
One of the early signs of pregnancy is sensitive, sore breasts caused by increasing levels of hormones. The soreness may feel like an exaggerated version of how your breasts feel before your period. Your discomfort should diminish significantly after the first trimester, as your body adjusts to the hormonal changes. 

Fatigue
Feeling tired all of a sudden? No, make that exhausted. No one knows for sure what causes early pregnancy fatigue, but it's possible that rapidly increasing levels of the hormone progesterone are contributing to your sleepiness.

You should start to feel more energetic once you hit your second trimester, although fatigue usually returns late in pregnancy when you're carrying around a lot more weight and some of the common discomforts of pregnancy make it more difficult to get a good night's sleep

Nausea or vomiting
If you're like most women, morning sickness won't hit until about a month after conception. (A lucky few escape it altogether.) But some women do start to feel queasy a bit earlier. And not just in the morning, either � pregnancy-related nausea and vomiting can be a problem morning, noon, or night.

About half of women with nausea feel complete relief by the beginning of the second trimester. For most others it takes another month or so for the queasiness to ease up. 

Increased sensitivity to odors
If you're newly pregnant, it's not uncommon to feel repelled by the smell of a bologna sandwich or cup of coffee and for certain aromas to trigger your gag reflex. Though no one knows for sure, this may be a side effect of rapidly increasing amounts of estrogen in your system. You may also find that certain foods you used to enjoy are suddenly completely repulsive to you. 

Abdominal bloating
Hormonal changes in early pregnancy may leave you feeling bloated, similar to the feeling some women have just before their period arrives. That's why your clothes may feel snugger than usual at the waistline, even early on when your uterus is still quite small. 

Frequent urination
Shortly after you become pregnant, you may find yourself hurrying to the bathroom all the time. Why? Mostly because during pregnancy the amount of blood and other fluids in your body increases, which leads to extra fluid being processed by your kidneys and ending up in your bladder.

This symptom may start as early as six weeks into your first trimester and continue or worsen as your pregnancy progresses and your growing baby exerts more pressure on your bladder. 

A missed period
If you're usually pretty regular and your period doesn't arrive on time, you'll probably take a pregnancy test long before you notice any of the above symptoms. But if you're not regular or you're not keeping track of your cycle, nausea and breast tenderness and extra trips to the bathroom may signal pregnancy before you realize you didn't get your period. 

Your basal body temperature stays high
If you've been charting your basal body temperature and you see that your temperature has stayed elevated for 18 days in a row, you're probably pregnant

Good luck.",preggo,,Female,,,,,,,,,,,,,,,,my husband and i have been trying to conceive for 7 months now..,preggo,,,,,,,Yes:  Has anyone ever had this happen to them and ended up preggo?,,,,,Yes: reassurance (it can go with emotional or esteem),No,informative answer,,
2,221709,Is it ok to take iron supplements if you don't know you have an iron deficiency?,"I have been getting really bad dizzy spells for a few weeks now. Before we moved my doctor told me I could be anemic, which is commen in girls, and ordered some blood tests. However we moved before I could get them done, and now we dont have insurance yet, so I cant get the bloodwork done. My mom bought some iron supplements for me to try. I just wondered, if I'm not iron deficient, will it have any bad side-effects. Can you have too much iron?","Too much iron can be harmful
The body stores iron very efficiently, and too much iron can be toxic. Haemochromatosis is a condition characterised by excessive iron stores. Some studies suggest that haemochromatosis increases the risk of heart disease and some cancers, such as colorectal cancer. Treatment includes limiting the amount of iron in the diet, and regularly removing blood until iron levels normalise.",too much iron,12-17 years old,Female,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes: ,,,,,,Not applicable,,,
3,272275,I have a question about Asthma...?,"I was diagnosed with Asthma yesterday... the doctors gave me a shot of steroids for the inflammation in my lungs and boy did they ever open up... my question is .. is it normal for steroids to keep you awake? And if it is what can I do to go to sleep because last night was awful...

And can anyone give me any pointers on how I can keep myself breathing better even though I am being treated with Advair and such.... 

Thanks so much for any help!","YEAH THE STEROIDS TAKE A WHILE TO GET USE TO.
WALKING OF COURSE HELPS LUNG FUNCTION SO DOES BREATHING EXERCISES. ANOTHER THING IS TRY TO FIGURE OUT WHAT YOUR ASTHMA TRIGGERS ARE SUCH AS DUST COLD AIR SEASONAL ALLERGIES AND TRY TO PREVENT THEM. I HAVE BEEN DEALING WITH ASTHMA MOST MY LIFE LET ME KNOW IF THERE IS ANY THING ELSE I CAN HELP YOU WIT OR YOU HAVE ANY MORE QUESTIONS",Asthma,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes: ,,,,,,Not applicable,,,
4,293346,What is the best way to deal with depression due to pregnacy loss?,"About a month ago (my birthday as a matter of fact) I went into the hospital with a tubal pregnancy. Needless to say I was in surgery immediatly and hospitalized for 3 days. I was not allowed to return to work for a month. I had no idea I was even pregnant, and I had mixed feelings at the time. I have a steady boyfriend who I have lived with for over a year, I am 27, and sometimes I really want to have a baby and sometimes I think it's best to wait. I have no other kids but I am a sort of step mother to my boyfriend's 7 year old. I am happy with my life but ever since this has happened I have been dealing with feelings of loss secretly. I lost my mom in Dec 2003, and this has also brought back sadness of that as well. I just wish I could snap back out of this funk and go on with living.",Although I don't have the answer you want ... I can relate with your feelings. I don't know if just knowing that you are not alone in this helps or not. I went through almost the same exact situation about 6 months ago and it brought back all kinds of feelings of lose and sadness. I am sorry that you are having these feelings and hope you can learn to cope in some way. I still just push all of my hurt to the back of my mind...some days I am kinda ok and other days I cry at the drop of a hat--I guess its just something you have to carry with you for the rest of your life. Once again i am sorry and wish you the best. I am 31 years old myself with no other children-but hang in there and hopefully things will look up for us both.    :),depression,,Female,,this has also brought back sadness; feelings of loss,I lost my mom in Dec 2003; pregnacy loss,,,,,,,,,,,,,,,,,,,,,Yes: What is the best way to deal with depression due to pregnacy loss?,,,,Yes: I just wish I could snap back out of this funk and go on with living.,,Yes:  I can relate with your feelings.  I am sorry that you are having these feelings and hope you can learn to cope in some way.  Once again i am sorry and wish you the best. I am 31 years old myself with no other children-but hang in there and hopefully things will look up for us both.    :),,,
5,418952,I want to know what risk I have of HIV from fingering a girl with possibly a cut on my finger.?,"A couple months ago I met this girl. We made out a few times and got pretty serious although we never had sex. 

I did finger her downstairs a few times with full penetration with my fingers. I often get small cuts on my fingers from my work.

Now, I stupidly asked her -after- a few times about her STDs and AIDS/HIV thing.  However, she seemed to withdraw at that point, and never said explicitly that she didnt have it, just that if I was worried get a test. She just wouldnt say she definately didnt have it.  It kind of went downhill from there and I haven't seen her in a while.

Now two months later, I feel sick. it's been that way for a month, nothing debilitating, I worry I did catch HIV and I've got seroconversion illness. Ive got a cough, diarrhea and I have general malaise.  I previously in the month had a fever and a very mild rash over my upper body.  

I'm terribly afraid to go see a doctor and get tested in case I'm told I am positive.

Can anyone give me some advice???","possible, go to the doctor and take a blood test to check for HIV",HIV,,Male,,,,,,I'm terribly afraid to go see a doctor and get tested in case I'm told I am positive.,positive,,,,,,,,,,,,,,,,,Yes: I want to know what risk I have of HIV from fingering a girl ,,,,Yes: Can anyone give me some advice???,,No,,,
6,424111,"Whats the cause of this desease called ""Polyteritis Nodosa""?","Last August I lost a 14 year boy who suffered from a disease called Polyteritis Nodosa. It took time for the doctors to discover it. They took XRAYS,SCAN until discovered he has an infection though at first they were treating Malaria. After his leg swell then they discovered that he has an infection which is not common here in Africa. And we wonder where could have the boy got the disease. Doctors said it is common in Japan and Canada. But this boy has never travelled to oversease countries. So they tried their best to treat him but my son died. Thank you.","Hi,

Sorry to hear about your son. 

The disease is called polyarteritis nodosa. It's a disease that causes inflammation in blood vessels which leads to their destruction. 

The disease involves many organs in the body. It can present as a self limited disease that has only skin lesions or as a severe disease that involves many organs which leads to their disfunction, and to death. 

Nothing is known at the moment about the genetics of the disease. In the USA it occurs in 9-17 out of 1,000,000 people. It usually affects people of all ages and is much more common in males than females. 

The causes of the disease are unclear as of today. There is evidence that maybe the immunologic system in the body is responsible, because when checking for values of factors in the blood that usually go up in diseases that have an immune cause, these factors go up in this disease as well. 

These include:
1. antibodies of the type endothelial COH
2. antibodies that are common in other diseases of blood vessels, called ANCA
3. There is also a connection with infection from Hepatitis virus (that causes a liver disease usually). In 30% of people with the disease the virus was found in the blood. It's possible that the body's response to the virus causes the disease.",Polyteritis Nodosa,,,,So they tried their best to treat him but my son died,son died,,,,,,,we wonder where could have the boy got the disease ,polyarteritis nodosa,,,,,,,,,,,,,Yes: Whats the cause of this desease,Yes: Last August I lost a 14 year boy,,,,,Yes: Sorry to hear about your son. ,,,
7,777098,"Hirsutism,help?","My sister has hirsutism in her face & has masculine her distribution,but light hair,not so thick radiating towards the umbilicus & in the inner asoect of her thighs & I want to help her.Don't tell me do acu-light laser her removal as the condition is generalized & laser will cost her alot of money.She took DIANE-35 a drug which contained cyproterone acetate & ethinylestradiol 3 years ago & it was giving excellent results,but this drug is no longer for sale.I asked in a phamacy & they said ethinyl estradiol alone is enough but I don't believe them cause here people who work in pharmacy know nothing about drugs,So if you please tell me a trade name of a drug that contains both cyproterone acetate & ethinylestradiol,I'll be grateful.","Hirsutism, also see Idiopathic Hirsutism Below

INTRODUCTION � Polycystic ovary syndrome (PCOS) is the most common cause of infertility in women [1], and is primarily characterized by ovulatory dysfunction and hyperandrogenism. The diagnosis of PCOS has life-long implications with increased risk for infertility, metabolic syndrome, type 2 diabetes mellitus, and possibly cardiovascular disease. It should be considered in any adolescent girl with hirsutism, persistent acne, menstrual irregularity, or obesity.

The clinical manifestations and diagnosis of PCOS in adolescents are presented here. The definition, pathogenesis, and treatment of PCOS in adolescents are discussed separately. (See ""Definition, pathogenesis, and etiology of polycystic ovary syndrome in adolescents"" and see ""Treatment of polycystic ovary syndrome in adolescents"").

CLINICAL FEATURES � It is important to appreciate that PCOS is a syndrome, not a disease, reflecting multiple potential etiologies and variable clinical presentations. Adolescent girls with PCOS may present with hirsutism, menstrual irregularities, obesity, acanthosis nigricans, premature pubarche, and/or precocious puberty (show figure 1). Any one of these findings may be the sole feature of the syndrome. Treatment-resistant acne, scalp hair loss, seborrhea, or hyperhidrosis also may be presenting chief complaints.

Hirsutism � Hirsutism is defined clinically as excessive sexual hair that appears in a male pattern [2]. Hirsutism is commonly graded according to the Ferriman-Gallwey system, which quantitates the extent of hair growth in the most androgen-sensitive areas (show figure 2). In adult women, a score of <8 is normal, 8 to 15 indicates mild hirsutism, and >15 indicates moderate to severe hirsutism.

Hirsutism must be distinguished from hypertrichosis, the generalized excess growth of hair that sometimes occurs on a hereditary basis, or in patients taking glucocorticoids, phenytoins, diazoxide, or cyclosporine. Hypertrichosis is distributed in a nonsexual pattern (eg, generalized distribution or more prominent distribution on the forehead or shoulders) and is not caused by excess androgen, although it may be aggravated by excess androgen.

Acne vulgaris, pattern alopecia, seborrhea, hyperhidrosis, and hidradenitis suppurativa are considered to be hirsutism equivalents [3]. Hyperandrogenism should be considered in adolescent females who have inflammatory acne that is unusual in its age of onset (before midpuberty), severity, persistence, or unresponsiveness to standard therapy.

Hirsutism and hirsutism equivalents are variably expressed manifestations of excess androgens that are present in approximately two-thirds of hyperandrogenic females [2,3]. The absence of hirsutism in approximately one-third of hyperandrogenic women appears to be because of relatively low sensitivity of their pilosebaceous unit to androgens. In addition, hirsutism may be absent in young adolescents whose hyperandrogenism has not evolved fully.

Not all hirsutism is caused by hyperandrogenism. Approximately one-half of mildly hirsute women and one-sixth of moderately hirsute women do not have androgen excess, but have idiopathic hirsutism. (See ""Evaluation of women with hirsutism"").

Ovarian findings 

Polycystic ovaries � Although PCOS in adolescents has clinical and endocrine features similar to those in adults, the detection of polycystic ovaries with ultrasonography appears to be less sensitive in adolescents (show radiograph 1) [3]. In a comparison of consecutively studied hyperandrogenic females, polycystic ovaries were found in 55 percent of adolescents and 75 percent of adults. This difference, however, may reflect the limitation of imaging virginal adolescents by the abdominal route compared with the higher-definition transvaginal route used in adults. A polycystic ovary may not develop until two or more years after menarche [4]. In adolescent",hirsutism,,,,,,,,,,,,,,,,,,Yes: .Don't tell me do acu-light laser ,,,,"they said ethinyl estradiol alone is enough but I don't believe them cause here people who work in pharmacy know nothing about drugs,",,,,"Yes: So if you please tell me a trade name of a drug that contains both cyproterone acetate & ethinylestradiol,I'll be grateful.",Yes: I want to help her.,,,,,No,,,
8,969601,"If its not ulcer, then what is it?","It started with the usual ulcer sympthons, stomach ache when the stomach is empty. When I eat food or take antacids, the stomach ache goes. It then got worse & started giving me pains in my lower back. 
The condition seems worsened by emotional, physical or even mental stress.

I had a gastroscopy & samples were taken from my stomach, osephagus & entrance of small intestine.
No ulcer craters, inflammations or typical bacteria was found. Also, I am tested for an allergy or intolerance to glutinens, I am ok.

What then is wrong with me? I've taken the prescribed drugs & Omeprazol for some months now, to no avail. I don't drink coffee or alcohol because it hurts my stomach unless maybe I am heavily filled with food.

What else can be possibly wrong with me? Am 26 years old, I've had this ailment for about 14 months now.","Did they test you for gall bladder ? I had the same symptoms . Tests galore , nothing . Four years later they're rushing me to the hospital with chest pains and the whole works . All it was , a diseased gall bladder . They took it out through my belly button and i have been fine since . I do have to watch everything i eat , but I lost weight and have a healthy lifestyle .. Good Luck",stomach ache,25-34 years old,,,,,,,,,,,,,,,,,,,"If its not ulcer, then what is it? ",stomach ache,,,,,Yes: What else can be possibly wrong with me? ,Yes: What then is wrong with me? ,,,,,"Yes:  I do have to watch everything i eat , but I lost weight and have a healthy lifestyle .. Good Luck",,,
9,994700,Period-like cramps during ovulation?,"According to my calender, I was supposed to ovulate today. Yesterday, I had period-like cramps.. i mean pretty bad, to the point where it felt i was going to get my period right then.. but i just got over it about a week and a half ago.. so I knew that wasnt it. Could it be that I am pregnant, or is it normal to have this cramping sometimes during ovulation?

Has this ever happened to any else when it was their time to ovulate?",Yeah.  It happened to me once.  Make yourself a cup of tea and just try and relax.  The cramps hurt really bad but you'll be okay in a day or 2.,cramping,,Female,,,,,,,,,,,,,,,,,,Period-like cramps during ovulation? ,cramps,,,,,Yes: is it normal to have this cramping sometimes during ovulation?,"Yes: Yesterday, I had period-like cramps.. i mean pretty bad,",,,Yes: Has this ever happened to any else when it was their time to ovulate?,,Yes: Yeah.  It happened to me once.  ,,,
10,1030497,Help Doctors! My leg goes numb when I run..........?,"I am in the Army and 2 years ago I had a leg injury for overpushing myself in training. I couldnt run for about 6 months cause it still hurt. Then after a while I could run again but instead of pain, my right lower leg would go numb sometimes to the point where I feel like I am dragging my foot cause its numb and I have to stop running.  I was diagnosed with compartment syndom in my lower leg and I had a fasciotomy in January.  But when I started running again, my leg still goes numb but now its goes up to the back of my thigh.  Its not pain, its just a numb feeling which is annoying and makes me have to stop running even if its only after 1 mile.  I think they mighthave made the incision in the wrong place (front side of my calf), since now it is becoming more obvious that the numbness is in the back of my leg. Could the surgeon have cut on the wrong compartment, or could it be something else other than compartment syndrome (even though all the sympthoms are the same)? Please help!!","You do know the US Army takes doctors who have lost their license due to malpractice...saw it on 60 minutes.

My guess is the numbness is caused by pressure (impingement) on a nerve.

If you're still active duty, avoid the blame game on your doctor...they'll all be afraid to help you.

Start with sick call and complain about the numness.
You'll get a profile and a weeks supply of Ibuprofen.
After the profile expires, complain again...you may get lucky with an x-ray referal.
The x-rays will turn out non-conclusive and you'll get another profile and more Ibuprofen.
At that point you can ask for an MRI...if they deny you; ask to see a civilian doctor.

If you can't get a referal for a civilian doctor...go to a civilian med station at the mall on a Sunday. Tell the civilian doc every last detail. Hopefully, you'll get that MRI and they can see what went wrong or what is wrong.

The Sciatic nerve guess is a good one...but the numbness from an impinged sciatic nerve will continue up your foot and into your leg.

If you're hoping for a medical chapter...the Army will give you zero percent for this. VA will bump it to 10 - maybe.",numbness is in the back of my leg,,,,,,,,,,,,,,,,,,,,,," I think they mighthave made the incision in the wrong place ; 
Could the surgeon have cut on the wrong compartment, or could it be something else", leg goes numb ,,,Yes: could it be something else other than compartment syndrome (even though all the sympthoms are the same)? ,,,,Yes: Please help!!,,Yes: You do know the US Army takes doctors who have lost their license due to malpractice...saw it on 60 minutes.,,,
