,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
60,413668,Can you take any antibiotic for a sinus infection? Or will taking a particular kind work better than others?,"I have a sinus infection (stopped-up nose, yellow mucus). I've had it for a about 4-5 days now. I could go to the doctor, but I would like to get rid of it myself. I was just going to wait it out, like I usually do with sinus infections. But I found I do have some antibiotics left over from other previous prescriptions: I have 1 500 mg amoxicillin pill, a bunch of 100 mg minocycline pills and 2 other 500 mg antibiotic pills (forget the name). What can I do with what I've got? Anything? Thanks.","NO you can't just take ANY antibiotic for a sinus or any other infection. Antibiotics aren't all made the same. Think of them as bacteria specific. 

DON'T keep left over antibiotics. In the future throw them away. 

You need to be seen and evaluated by a physician to get proper treatment for your illness. Don't take advice about taking antibiotics or other medicine from an online forum.",antibiotic,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Can you take any antibiotic for a sinus infection? Or will taking a particular kind work better than others?,,,,,,Not applicable,,,
64,590649,How long does it take to get the results back from an endometrial biopsy?,"I had an endometrial biopsy 5 days ago.  The dr. performed it based on abnormal bleeding for the last 4 years, and the results of a sonogram that indicated unusual thickness in the lining of my uterus as well as a cyst on one of my ovaries.  I am 45 years old with two children in college.  So no more children for me.  I also suffer from extreme hypertension which I take medication for daily.  I'm not overweight and work out quite often.  But I am going crazy right now waiting for the results of this biopsy.  Does anyone out there really think that I may have endometrial cancer?  I've never taken birth control pills because of my hypertension.  And right now, I'm just very frightened.  If anyone out there has had a similar experience, I would love to hear from you.  Thank you.","First of all, take a deep breath. You are not alone. I have had a couple of these; they came back inconclusive and I had to have a D&C (actually had several of those too). 

It should take about a week. If the doc has not called you back, you call him. I know from experience that waiting is pure torture! The mind can go to all kinds of weird places. 

Hang in there and be sure when you re-visit your doc that you bring your questions written down. I would also suggest that you bring another person with you when you get your results (assuming you get them in the office). 

Remember, Endo. cancer is very slow growing and has the most successful rate of cure. But there are other phases before it gets there. Hyperplasia...Complex Hyperplasia, and Complex Hyperplasia with Atypia. (that last one was my dx) 

I suggest that you also visit a web site called hystersysters.com. I would have never gotten thru my ordeal with out that support from those wonderful ladies. 

Best wishes to you.",endometrial biopsy,45-54 years old,Female,,,,,,"And right now, I'm just very frightened.",endometrial cancer,,,,,,,,,,,,,,,,,How long does it take to get the results back from an endometrial biopsy?,,Does anyone out there really think that I may have endometrial cancer?,,"If anyone out there has had a similar experience, I would love to hear from you.",,"Yes: First of all, take a deep breath. You are not alone. I have had a couple of these; they came back inconclusive and I had to have a D&C (actually had several of those too). ",,,
65,741991,undefined upper chest pain?,"In the past several months I have experrienced chest pains I can not describe. They only occur under certain conditions and are relieved by taking antacids. I have a history of vascular desease and am concerned if I might be experiencing stable angina. On  a scale of 1 to 10 the pains occur when the
following parameters are met. physical exertion 1,physical exertion following a spicy meal or in a   cold tenperature 5, physical exertion  in cold temperature  following a spicy meal 10.Only when the above conditions are met do I experience any discomfort.I work out at the gym and walk up to 2 miles a day and never have a problem unless spicy food or
cold temperature enter into yhe equation.","just to be on the safe side, i think this is a question only a doctor should answer.
i wouldn't want to guess at anything because i'm not certified in that field.
good luck",upper chest pain,,,,,,,,am concerned if I might be experiencing stable angina.,undefined upper chest pain?,,,,,,,,,,,,,,,,,undefined upper chest pain?,,,,,,Not applicable,,,
69,1065636,Has anyone ever been diagnosed with Compartment Syndrome?,"I am a runner who has been diagnosed with bilateral compartment syndrome in my lower legs.  I am currently seeing a specialist, as well as recieving therapy a few times a week.  The thing is, I am finding that the stretching and exercises that I have been shown to do feel like they are worsening my injury rather then improving it. Has anyone else ever worked through this injury, and if so, do you have any tips on how to decrease the pain associated with working out/ training/ living!?","did your doctors explain to you what the pain was being caused by? It is generally due to an increase in pressure within the compartment of muscles on the anterior aspect of the lower leg. There is not a lot of give in the sheaths holding the muscles together so an exercise level you are not used to, or even a new exercise may cause swelling in the anterior muscles, increasing the pressure.

In some extreme cases, surgery is required to remove the pressure as blood vessels and nerves to the area can become damaged, a side effect of which is necrotic tissue (tissue that has died due to a lack of oxygen). Your doctors should have already addressed this with you, but if not and your pain continues, bring it up with them. As if the inflammation continues, you could get septicemia which is deadly.

You could try an ice pack after doing your stretches to decrease the swelling, or elevating your legs above heart level. I would also talk to your specialist and tell them of your concerns. It may be they might have to manipulate the stretches for you, or the stretches may not be right for the current stage in recovery you are in.

During the day, anti-inflammatory drugs may also help. Check before taking these though if you are a competitive athlete as some may be on the banned list!

Keep in mind, this may all be a normal part of the healing process as you are working already inflamed muscles.!.

Good Luck!",Compartment Syndrome,,,,,,,,,,,,,,,,,,,,,,"The thing is, I am finding that the stretching and exercises that I have been shown to do feel like they are worsening my injury rather then improving it.",tretching and exercises,,,do you have any tips on how to decrease the pain associated with working out/ training/ living!?,,,,Has anyone ever been diagnosed with Compartment Syndrome?,,"Yes: Keep in mind, this may all be a normal part of the healing process as you are working already inflamed muscles.!.",,,
71,1221635,"Strange headache on zoloft and other side effects, anyone else?","About 4 days ago I started having this weird headache that lasted only for a second, but keeps coming about every 5 minutes or so.  It doesn't stay in one place in my head, it can be in my eyes, neck, back of my head, anywhere!  I'm also seeing mild flashes of light every now and then.  I got a cat scan done and the Dr. said that the cat scan was fine.  He said these headaches might be from zoloft.  I also sometimes clench my teeth and feel zombie-ish.  Anyone else?","I was on Zoloft because I had post partum depression and after taking it, I experienced the same symptoms that you did. I immediately asked my doctor to put me on something else because I didn't feel natural. I felt like a drugged up robot who had no control over my own body.",weird headache,,,,,,,,"About 4 days ago I started having this weird headache that lasted only for a second, but keeps coming about every 5 minutes or so.",Strange headache,,,,,,,,,He said these headaches might be from zoloft.,Strange headache on zoloft and other side effects,,,,,,,,,,,"Strange headache on zoloft and other side effects, anyone else?",,"Yes: I was on Zoloft because I had post partum depression and after taking it, I experienced the same symptoms that you did. ",,,
74,1388886,How many different ways can a woman catch climidia or gonorehea?,"Iv'e been with my woman for a little over two years now and because of my work schedule, I only get to see her on the weekends for intimacy. Today we went to the hospital and her doctor says she has a vaginal infection that could be either climidia or gonorehea. I'm not messing around with anyone else, but for some reason I get funny feelings about her for other reasons I won't discuss here. Please help.","You should get yourself tested.  Even if you are not exibiting symptoms you can be infected.  If that is the case you may have actually infected her.  People can be unsymptomatic carriers of STDs such as gonnorhea, if that is the case you may have been infected and not have even known it and passed it on to her.  However, if you have been together for a while and you have not been unfaithful, it is more than likely that she has been unfaithful.  If you really were an unsymptomatic carrier you would have infected her before this.",climidia or gonorehea,,,,,,,,,,,,,,,,,,,,,,,,Yes,,How many different ways can a woman catch climidia or gonorehea?,,,,,,Not applicable,,,
76,1568775,Milk Allergy?,"Does a milk allergy cause constipation? My son who just turned one has chronic constipation. He eats great (prunes, green veggies) and drinks both juice and water daily. His pediatrition just prescribed him Myrilax (on it for two days hasn't helped yet). I am allergic to milk and am wondering if this could be the cause of his constipation. His doc says he is too young to be tested for allergies and if this medicine doesn't work than he will refer him to a pediactric gastro doctor.",must be lactose intolerant,Milk Allergy,,,,,,,,,,,,,,,,,,,,,,,,Yes,,I am allergic to milk and am wondering if this could be the cause of his constipation.,,,,,,Not applicable,,,
78,1669792,My 14 month old passed out.?,"My 14 month old was crying the other day and I picked him up.  He arched his back and I thought he was about to let out a wail, but he was passed out!!!  I turned him over to his tummy thinking maybe he was choking (he wasn't) and he started breathing again.  No problems since then.  He's just been diagnoesed w/ asthma.  Should I call his pediatrician?  What could ahve casued that, other than him holding his breath, which he really wasn't doing.  Thanks!","you should have called the pediatrician immediately. i would right now as a matter of fact. that is NOT normal.. could have been a seizure, they can take on many forms.  sounds dangerous, he definitely needs to see a doctor",asthma,,,,,,,,"My 14 month old was crying the other day and I picked him up.  He arched his back and I thought he was about to let out a wail, but he was passed out!!!  I turned him over to his tummy thinking maybe he was choking (he wasn't) and he started breathing again.",My 14 month old passed out,,,,,,,,,,,,,,,,,Should I call his pediatrician?,,,,,,Not applicable,,,
79,1728757,Blood pressure or not?,"I am a chronic sufferer of headaches and migraines. I don't know if this is related to blood pressure or not but when I get up from sitting, my head thumps in the temples and it feels like my head is going to explode. This happens most times and lasts for a few minutes. I have had my blood pressure checked many times and it is always ok. I was wondering if this horrible sensation is related to blood pressure or a symptom of my headaches. At the moment while sitting at the computer, I can feel and hear my heart beat at the back of my head. This sometimes happens at night when I am lying in bed. Is this normal? Any advice?",I can't diagnose this but I will tell you that I suffer from hypertension and when I get up sometimes I feel the same way.Its a weird feeling like your head has pressure in it. Get an electronic blood pressure at the pharmacy and check you B.P.twice a day for a couple of weeks and show the readings to your doc.,chronic sufferer of headaches and migraines,,,,,,,,,,,,,,,,,,,,I was wondering if this horrible sensation is related to blood pressure or a symptom of my headaches.,chronic sufferer of headaches and migraines,,,,,I was wondering if this horrible sensation is related to blood pressure or a symptom of my headaches.,,Is this normal?,,,,Yes: I can't diagnose this but I will tell you that I suffer from hypertension and when I get up sometimes I feel the same way.,,,
80,1821117,Not pregnant...been to doctor...anyone experience anything like this? Women please?,"Ok first if all you have to say is go to the doctor please do not waste either of our time its really not worth the points. I KNOW no one on here can diagnose me. I am just wondering if anyone has been through similar things. Basically for the last two months I have had weird cycles. Last month it was pretty much normal but a little light. Then some spotting a few days after it ended. This month day one was a little lighter then normal, day two was WAAAAAAAAYYYY lighter then normal-just a little more then spotting...day three was just spotting. Day two and three for me are usually very heavy. Rarely lasts more then three days. I have also had a huge loss of appetite for over a week now. Stomach pains,side pains, chest tenderness, hightened senses...all kinds of different things. Too many to list. Many ""normal"" pregnancy symtoms. Went to the doctor today. Test came up negative. Dr cant find anything wrong with me. Continued...","It is possible that you are pregnant. Yes the test should have showed that at this point. But you may need to wait another week or two. Everyones bodies develop those horomones at different times. Some people can find out right away others need to wait a month or more.

Not sure if your doctor tested you for other things or if he/she just did a basic exam and didnt find anything in that. If they just did a basic exam go and get a full physical.

Check out http://www.webmd.com for information about your symptoms.

It could be one of many things from stress to more serious things. You would be amazed at the way stress can effect your body. Or even just a change in routines. 
Good luck!",pregnancy symtoms,,,,,,,,,,,,,,,,,,,,,,Test came up negative. Dr cant find anything wrong with me.,Went to the doctor today.,,,,,,,I am just wondering if anyone has been through similar things.,,No,,,
81,1833993,Could I still be pregnant?,"I usually have a 29 day cycle and this month I would have O'd around June 10 or 11th. Days which I had intercourse. I've been having the early signs of pregnancy, sore bb's, light abdominal cramps, very tired, nauseated at times, super smell and headache. My period is due on Saturday (June 24th) and if not then in the subsequent days after that. I took a HPT this morning and it was neg. Could I still be pregnant? And if so, when should I test again?","HPTs are most effective 5 days after a missed period. They advertise that they can be effective as early as 4 days before to make you buy more tests!

I suggest that you want until day 7 and test first thing in the morning when the hormone concentration in your urine in highest. Remember, the positive line can be very faint, but even a faint line is a positive. Sometimes it can take ten minutes to make out a very slight pink line. Be patient. 

Good luck and let us know what happens.",Could I still be pregnant?,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"And if so, when should I test again?",,Could I still be pregnant?,,,,Not applicable,,,
82,1954968,I have a rash. Consist of 2lines on my side. They are 1/16 of an inch wide x 3 inches long. Super itchy. HELP?,"I slept on a blanket at a house we rented last weekend.  The blanket was provided by the house.  I woke up on Sunday morning and have two rashes on my side.  They actually look like cuts that are almost healed.  But they are two rashes, each about three inches long by 1/16 of an inch wide.  They are itchy does anyone know what they are.  Also, how I can get them to go away and stop itching?  Please help and thank you in advance.","Go see the doctor. It could be poison ivy or oak, or it could be shingles which are caused by the chicken pox virus that stays in your body. If you are under stress, the virus can resurface as shingles.",a rash,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"They are itchy does anyone know what they are.  Also, how I can get them to go away and stop itching?",,,,,,Not applicable,,,
83,2037077,Change in scent of vagina an early sign of pregnancy?,"My husband and I are trying to get pregnant and I have some of the other normal signs of early pregnancy (sore breasts, headaches, dizzyness, some nausea, etc) but for the past week I have noticed a change in the smell of my vagina. It's not a bad fishy smell, just different. I thought it would go away but it hasn't. My discharge doesn't smell different though, so I don't think it's an infection or anything. Has anyone heard of a change in your vagina's scent a sign of pregnancy?","I don't know if it's considered a 'sign' per se, but a change in vaginal mucus is very common during pregnancy.  Some women believe they have a stronger scent, but I didn't.  Some significant others report that it tastes different . . .

Good luck!
(And what is with these insulting responses?  Don't these people have anything better to do than display random acts of mean behavior on yahoo???)",early sign of pregnancy,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Has anyone heard of a change in your vagina's scent a sign of pregnancy?,,,,,,Not applicable,,,
85,2115479,ultra-high-frequency ultrasound?,"Im from the Philippines and my wife was diagnosed with a myoma in her uterus, her obgyne told us that there is a new ultra-high-frequency ultrasound in the U.S. that can remove/dissolve such tumors in the body without having any kind of surgery. Does this technology really exists? and is it already practiced by the medical institutions there in the U.S.? Can I know the names of the hospitals (and its locations) that leads in this kind of medical treatment? Thank you very much.","Treating benign and malignant tumors and other disorders, via a process known as Focused Ultrasound Surgery (FUS) or HIFU, High Intensity Focused Ultrasound. These procedures generally use lower frequencies than medical diagnostic ultrasound (from 250 kHz to 2000 kHz), but significantly higher time-averaged intensities. The treatment is often guided by MRI, as in Magnetic Resonance guided Focused Ultrasound. 
More powerful ultrasound sources may be used to clean teeth in dental hygiene or generate local heating in biological tissue, e.g. in occupational therapy, physical therapy and cancer treatment. 
Extracorporeal shock wave lithotripsy uses a powerful focused ultrasound source to break up kidney stones. 
Focused ultrasound sources may be used for cataract treatment by phacoemulsification. 
Additional physiological effects of low-intensity ultrasound have recently been discovered, e.g. the ability to stimulate bone-growth and its potential to disrupt the blood-brain barrier for drug delivery. 
Ultrasound is used in UAL (= ultrasound-assisted lipectomy), or liposuction. 
Doppler ultrasound is being trialled for use in aiding tissue plasminogen activator treatment in stroke sufferers. This procedure is called Ultrasound-Enhanced Systemic Thrombolysis.",ultra-high-frequency ultrasound,,Male,,,,,,,,,,,,,,,,,,,,,,Yes,,Does this technology really exists? and is it already practiced by the medical institutions there in the U.S.?,,,Can I know the names of the hospitals (and its locations) that leads in this kind of medical treatment?,,,Not applicable,,,
86,2134705,Can anyone help with my TMJ problem?,"I have TMJ really bad. Sometimes my jaw pops out of place when I yawn.I have horrible headaches and jaw pain. I've also suffered with ringing ears and hearing loss. The problem has just been getting worse and I know it's time to get it fixed. I have two problems:I need to find a dentist that works with patients that can't open their mouths wide and also I need to find a dentist who will finance any work I need done to correct the TMJ. Any suggestions? I live in Cleveland, Ohio","If finances are a great concern, consider visiting the dental school at Case Western in Cleveland.  I think Dr. Clifford Fox is still there and he is an internationally known authority on TMJ disorders.",TMJ problem,,,,,,,,I have horrible headaches and jaw pain. I've also suffered with ringing ears and hearing loss.,TMJ problem,,,,,,,,,,,,,,,,,,,,I need to find a dentist that works with patients that can't open their mouths wide and also I need to find a dentist who will finance any work I need done to correct the TMJ.,,,No,,,
89,2391974,Chemical burns in mouth?,"I think my 3 year old used my toothbrush as a cleaning brush.  The other day I brushed my teeth and the toothpaste seemed to be more of a foam than bubbly.  My mouth started to get a ""dry"" feeling in my inner cheeks and inside on the top and bottom lips.  Even the outside of my lips feel kind of ""waxy"".  They are starting to peel a little too(not because they are dry either).  When I eat the ""dry spots"" sting and burn.  I thought this was thrush at first but there are no white spots.  I figured it could be thrush because I am on antibiotics and I have a weakened immune system(from Rheumatoid Arhtritis).  There is no bleeding...yet.  Can anybody help?  What could this be?  What should I do for treatment?  Salt water?",Try calling the non-emergency hospital line and talking to a nurse or doctor about your symptoms. I do this whenever Something feels wrong and i can usually avoid a doctor visit by doing so.,Chemical burns in mouth,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Can anybody help?  What could this be?  What should I do for treatment?  Salt water?,,,,,,Not applicable,,,
90,2408195,Is it arthritis?  What are the types of treatments a person can expect?,"A person's foot starts to turn in then their knee becomes very painful and feels as though it wants to give way.  If the person bends the knee like when sitting on your leg in a chair, or when on hands and knees in the floor then goes to stand up--the knee doesn't straighten completely without hurting really really bad.  What is causing this??? What kind of treatments can this person expect when they go to the doctor??",None,arthritis,,,,,,,,,,,,,,,,,,,,,,,,Yes,,What is causing this??? What kind of treatments can this person expect when they go to the doctor??,,,,,,Not applicable,,,
92,2477264,The Tuberculosis Bump?,"I got a normal shot to see if I have TB because I am headed to college in the fall. Sure enough I had the bump and I went for a chest x-ray and am waiting for the results. I have no symptoms of tb, I have no clue how I could have contracted it, and I am not even sure if this test is false positive. Either way I am nervous about the whole situation. Do you think the school I am attending would tell me I couldn't go if I turn out to have an active case or am taking drugs to prevent tb(more likely scenario)?","most likely its a false positive, you don't have any other of the symptoms of TB like a hacking cough, temp, coughing up blood--right??  the school can't keep you out even if you have an active case, of course you would have to be treated first..but that is only if the TB is active.  with a false positive you will just have to get chest x-rays instead of the shots from now on.",Tuberculosis Bump,12-17 years old,,,,,,,,,,,,,,,,,Do you think the school I am attending would tell me I couldn't go if I turn out to have an active case or am taking drugs to prevent tb,Tuberculosis Bump,"I have no symptoms of tb, I have no clue how I could have contracted it, and I am not even sure if this test is false positive.",Tuberculosis Bump,,,,,,,Do you think the school I am attending would tell me I couldn't go if I turn out to have an active case or am taking drugs to prevent tb(more likely scenario)?,,,,Yes:  the school can't keep you out even if you have an active case,,,
93,2515833,"Can anyone help? I've had chronic urticaria (hvies) for almost 5 mos, only appears at night. Possible causes?","I've been to the allergist; he did skin tests for allergic reactions. There are several things I'm allergic to, but I'm not exposed to those things every day.  I only get them at night, so it can't be my soap, detergent, shampoo or anything else. It is not caused by putting pressure on the skin.  I have had blood tests done, everything comes out normal, including my thyroid. I don't have any (known) infections, internal or external. My allergist basically told me that there is nothing he can do at this point, and that I'm just going to have to deal with it until it goes away on its own. I can't accept that! Has anyone ever experienced something like this? Please help, I'm losing lots of sleep (and money on Zyrtec, which my allergist prescribed).","I know where you're coming from. My urticaria tends to get worse at night sometimes too. It tends to happen when I get hot.  Or if the sheets feel dirty. 
I have had chronic urticaria as long as I can remember (I'm 20) My allergist couldn't even do an allergy test on me because just being poked, even without an allergen on the needle, caused me to break out.  I have been taking ranitidine and singulair for the past year, and it has been helping, although it has not cured it.  Try taking benedryl before you go to bed. It is a anti-histamine, which will help the hives, and it will make you sleepy also. I wouldn't recommend doing that long-term though. I only do it when I am absolutely desperate for sleep.  If you are allergic to any foods, it could just take a while for your system to react to it, so watch what you eat for dinner, or go on a elimination diet if you strongly think that food is the cause. I was told that a chemical in tomatos can make allergic reactions worse, so while they may not cause a reaction, if you have a reaction while that is in your system it could make it worse. If you have anymore questions or would just like to talk to someone with the same problem, then you can e-mail me or message me at amy_edrington@yahoo.com  Best of luck",chronic urticaria (hvies),,,,,,,,,,,,,,,,,,,,,,"My allergist basically told me that there is nothing he can do at this point, and that I'm just going to have to deal with it until it goes away on its own. I can't accept that!",allergist basically told me that there is nothing he can do at this point,,,Possible causes?,,,,Has anyone ever experienced something like this?,,Yes: I know where you're coming from. My urticaria tends to get worse at night sometimes too. It tends to happen when I get hot.  Or if the sheets feel dirty. ,,,
95,2714734,Puss Pockets in throat.....?,"On thursday my throat began to hurt and I thought I was getting a common cold or a reaction to a flu shot I just had. On Sunday I was really tired and my body was sore. My sister in law (a nurse) looked in the back and saw white puss pockets and told me I had strep throat. I went to the doctor today and I tested neg. for strep throat and mono. He said people with sinus infections get this but I have never had a sinus infection and then he didnt know what I had. He just gave me anti-bodies but it seemed weird that he couldnt pin-point anything. Has anyone had anything similar happen to them? My throat is soo sore and I can barely eat, I feel really tired and my whole body hurts. (no sniffles). Thank You","OK-I just spent 4 days last week in a horizontal position with pretty much the same symptoms that you had. I was tired, my body was sore, and my throat was so sore that I could barely even swallow or talk. I finally broke down and went to the DR, where I too was swabbed for strep throat because my throat was swollen and red. The test was negative. I was also swabbed for the flu. Guess what?!?! It was positive. I really did not have any sniffles or anthing like that. I just laid on the couch and did nothing. The DR did give me an antibiotic for an infection that he <thought> I might have in my sinuses too. Now, I was told that it would take about 7-10 days for it to run its course. I have 2 small children, a job, and laundry! I do not have 7-10 days to spare!!!! So, I followed this regimen and immediately began to feel better. Took my antibiotic as prescribed. Every 2 hours, I gargled with warm salt water, drank a full glass of lukewarm water (didn't want to upset my stomach), and did a ""steam treatment"" on my sinuses. Basically, I got a kitchen towel, soaked it in hot, steamy water, and without wringing it out, placed it over my mouth and nose and breathed in the warm steam. I also placed Vicks vapor rub over my chest and throat and slept with a warm heating pad over my chest while I got lots of rest!!!! I also added Mucinex which worked wonderfully. Less than a week later, I am feeling pretty good. Still have the cough but at least I am not in a horizontal position anymore! Good luck to you!

Oh, 1 other thing, I did take Ibuprofen for the body aches!",puss pockets,,,,,,,,"Has anyone had anything similar happen to them? My throat is soo sore and I can barely eat, I feel really tired and my whole body hurts.",Puss Pockets in throat,,,,,,,,,,,,,He just gave me anti-bodies but it seemed weird that he couldnt pin-point anything.,I went to the doctor today and I tested neg. for strep throat and mono. He said people with sinus infections get this but I have never had a sinus infection and then he didnt know what I had.,,,,,,,. Has anyone had anything similar happen to them?,,Yes: OK-I just spent 4 days last week in a horizontal position with pretty much the same symptoms that you had.,,,
96,2770928,WOULD THIS CAUSE ANY PROBLEMS DURING PREGNANCY? PLEASE ANSWER!! :)?,"I would really love to have a child in my near future, but I have some issue's that I fear may cause me some complications...I suffer from anxiety/panic attacks, depression, & hypochondria. I take medication for anxiety/depression, & go to counseling for it as well, along with my hypochondria. My blood pressure tends to go up when I'm under stress, so this is also another issue I'm concerned about...Like I said, I'd really love to have my own child, but do you think all of this would be too much for me to handle? (mentally)...I don't really have that much trouble with depression, & here lately I've been doing pretty good with my anxiety/panic attacks, but I fear ANY type of problem during my pregnancy may trigger it, or make my depression worse.....Any good advice?.","people had children ages and ages ago when medication wasn't available. people have always had these sorts of poblems. now days technology is so advanced-there are ways to deal with problems like you mention.

there is no such thing as a pregngncy without stress. some people may have more stress than others, but all do to a certain extent.

i think this is a question you need to discuss with a doctor. you might be considered a high risk pregnancy, but with that you are just monitered more closely. 

keep your head up and think positive. what's meant to be will be....good luck!",pregnancy,,,,,,,,but I have some issue's that I fear may cause me some complications,"suffer from anxiety/panic attacks, depression, & hypochondria. I take medication for anxiety/depression",,,,,,,,,,,,,,,,,WOULD THIS CAUSE ANY PROBLEMS DURING PREGNANCY?,,".Like I said, I'd really love to have my own child, but do you think all of this would be too much for me to handle? (mentally)",,,,Yes: keep your head up and think positive. what's meant to be will be....good luck!,,,
97,2775401,Need help. please give sincere comments on my diet and lifestyle?,"I dont drink and i dont eat red meat 
I drink lots of green tea, soymilk ,distilled water and cheap juices but at the same time i drink coke and pepsi very often
I dont exercise(for 5 years now).
I love fries ,fast food, chocolates and potato chips but i dont take them regularly tough ( once a week maybe)
Im slightly passed above the underweight bar
I going to have 2 jobs soon because the society i'm living in is pressuring me to earn more to support a refined lifestyle
I'm in my mid twenties
 
Question: what are the chances of my getting a chronic illness like cancer or diabetes or heart problems when i'm old?",None,diet and lifestyle,25-34 years old,,,,,,,,,,,,,,,,,,,,,,,Yes,,what are the chances of my getting a chronic illness like cancer or diabetes or heart problems when i'm old?,,,,,,Not applicable,,,
98,2798266,"If I have mildly high blood pressure, will aspirin make it worse, and cause severe, short term headache?","I took three aspirins to help with a chronic back pain condition. Soon after I participated in rigorous ""exercise"" for about ten minutes. Immediately after that my head suddenly felt as though it was going to explode - probably the worst head pain I've had since mild carbon monoxide poisoning in 1979. Fifteen minutes later it faded to a dull ache. This pain enveloped the whole top hemisphere of my cranium. Could aspirin possibly have had anything to do with this episode? Thanks. K.","HBP, according to the books I have read, may be one symptom of high insulin production (hyperinsulinemia) one of the pre-diabetic conditions.  Hyperinsulinemia can be responsible for another condition hypoglycemia - low blood sugar.  Aspirin interferes with the production of hormones that increase pain, by interfering with the production of some sub-hormones that hypoglycemia can help overproduce.  The exercise possibly used up your available sugar in the bloodstream, and the headache may have been your brain trying to tell you it was low on sugar.

www.hufa.org has some basic info on low blood sugar, how to detect it and what to do about it.",aspirin,,,,,,,,,,,,,,. Immediately after that my head suddenly felt as though it was going to explode - probably the worst head pain I've had since mild carbon monoxide poisoning in 1979.,headache,,,,,,,,,,,Could aspirin possibly have had anything to do with this episode?,,,,,,Not applicable,,,
100,2887643,Sharp pain on upper stomach area right side?,"I've already went to the doctor, they said I had no gull stones with that scanning thing they use on pregnant women. I'm in great shape, but sometimes, usually after eating heavy, I get a sharp pain on my side, making it very painful to take deep breaths. It usually lasts only a couple minutes, but still, sucks. It's about two inches under the curve of my rib. I dont drink, I hydrate well, no drugs, eat well...",It sounds to me like it IS your gall bladder. Tell your dr. to do a HIDA-SCAN. I had gone through about 4 mths of pain and test then finally a dr. said he wanted to do an ultrasound AND a hida-scan. I was fine on the ultra sound but the hida scan showed that when my gall bladder expanded it was fine but when it was supposed to contract back it didn't. It is a VERY painless procedure. They just push in some dye like an IV and run the test to make it expand then wait for 5 minutes and push in some more dye and see if it contracts like it supposed to. EASY TEST. The surgery is easy as well. Good Luck. OR it could be that you are just eating too fast.,Sharp pain on upper stomach,,,,,,,,,,,,,,"It usually lasts only a couple minutes, but still, sucks.",Sharp pain on upper stomach area right side,,,,,,,,,,,Sharp pain on upper stomach area right side?,,,,,,Not applicable,,,
101,2928008,"Sometimes my toes are numb, and I frequently wake up with numb hands/fingers. Any idea what this might be?","I don't wear tight shoes. I've noticed that my feet are often cold at the time this happens.
It feels like I have a hole in my sock. I'm not diabetic (thiis numbing problem has been around for years) and I'm not Hypogloccemic, as far as I know. No heart problems thus far, and no blood problems. I don't think I have any MAJOR circulatory problems, because I'm literally the warmest person I know. I have such great bloodflow, that I give off enough heat to lower my body temperature 3 degrees lower than normal people's temps. The doctor said this low temp is mostly normal, so I don't hink there is anything wrong with that. Any other ideas? IS it possible to have localized circulatory problems?","1. yes, u should have a vascular ultrasound checking peripheral vessels and the flow in them (triplex or doppler) its simple and cheap 2. it could be a special vascular entity such as Raynaud disease especially if there are slight changes in the color(light bluish and colder) of the palms or feet as well, also easy to check 3. u mention numbness and uve ruled out hyperglycemia...im not so sure u should quit checking again ur blood glucose,after meal or even have an glycozylated haemoglobin count (Hbg cA1) 3. u should visit a neurologist and have an electromygraphy and a neurological examination in case a diagnosis isnt reached",toes are numb,,,,,,,,,,,,,,It feels like I have a hole in my sock.,my toes are numb,,,,,,,,,,,"Sometimes my toes are numb, and I frequently wake up with numb hands/fingers. Any idea what this might be?",,,,,,Not applicable,,,
